Название;Ссылка;Информация;Изображение
Телеграмм бот для ОСАГО;https://www.napartner.ru/s/osago07_bot/;Размер инвестиций: 200 000 р.Срок окупаемости: 3 мес. Автострахование Россия, Москва;https://www.napartner.ru/images/startup/c41611ab94fa2004ffffc591bd6b03af.jpg
LANPRO.GG;https://www.napartner.ru/startup/15839;Размер инвестиций: 3 000 000 р.Условия: 50 %Срок окупаемости: 14 мес. Социальные сервисы;https://www.napartner.ru/images/startup/6a93069c8c8b81eeec833cf421e710aa.png
Trustaco Gold;https://www.napartner.ru/startup/15830;Размер инвестиций: 1 500 000 $Условия: 8 %Срок окупаемости: 24 мес. Добывающая ЮАР;https://www.napartner.ru/images/startup/eee850dc7b70074b96963d2dd801dac5.png
"Стоматология ""Мои Родные""";https://www.napartner.ru/startup/15829;Размер инвестиций: 3 000 000 р.Условия: 25 %Срок окупаемости: 24 мес. Стамоталогии Россия, Астрахань;https://www.napartner.ru/images/startup/ffab033c834cf679be684e4a84bbc6f9.jpg
Интернет-магазин мягкой мебели премиального сегмента. Продажа доли в компании;https://www.napartner.ru/s/columb/;Размер инвестиций: 3 000 000 р.Условия: 25 %Срок окупаемости: 8 мес. Мебель Россия, Москва;https://www.napartner.ru/images/startup/2984cc5df8d2e276b447eaab151eb5f9.jpg
SENDie. Заказывайте любые товары с доставкой. Зарабатывайте в пути.;https://www.napartner.ru/s/sendie1/;Размер инвестиций: 1 100 000 р.Условия: 100 % E-commerce Россия, Москва;https://www.napartner.ru/images/startup/d983575b30f9cf5e29577d42becd0eb1.jpg
Закрытый клуб - Any_Club – Недвижимость без посредников!;https://www.napartner.ru/s/anyclub/;Размер инвестиций: 2 500 000 р.Условия: 50 %Срок окупаемости: 6 мес. Агентства недвижимости  Россия, Москва;https://www.napartner.ru/images/startup/dcd72c65bb15858d2074faa009e56796.jpg
Фильм про боксера Гибель нейронов;https://www.napartner.ru/startup/15818;Размер инвестиций: 60 000 000 р.Условия: 75 %Срок окупаемости: 36 мес. Телевидение Россия, Москва;https://www.napartner.ru/images/startup/2c3423fee48e21fd78fddbc67847cce7.jpg
Проект по переработке нефтяных отходов oilwaste;https://www.napartner.ru/s/oilwaste/;Размер инвестиций: 1 000 000 р.Срок окупаемости: 12 мес. Добывающая Россия, Москва;https://www.napartner.ru/images/startup/ca23b13b43cefb2e0fac7a39264b7f8f.jpg
PartyHouse;https://www.napartner.ru/startup/15790;Размер инвестиций: 300 000 р.Условия: 10 %Срок окупаемости: 24 мес. Услуги Россия;https://www.napartner.ru/images/startup/751c9c2479a143761ccd94d8482696c1.jpg
Оптовая торговля Эко продуктами (свежие овощи , ягоды, грибы замороженные).;https://www.napartner.ru/startup/15789;Размер инвестиций: 10 000 000 р.Условия: 60 %Срок окупаемости: 12 мес. Сырье Россия, Москва;https://www.napartner.ru/images/startup/dae077e00d433d2f1174e0cdf8c98e5c.jpg
TAJHOTELS.TJ;https://www.napartner.ru/s/tajhotels/;Размер инвестиций: 1 079 320 $Условия: 30 %Срок окупаемости: 16 мес. E-commerce Таджикистан, Душанбе;https://www.napartner.ru/images/startup/ce6d11eb14ce47d97953009f318ca278.png
WorldRun.online;https://www.napartner.ru/startup/15784;Размер инвестиций: 1 000 000 р.Условия: 10 %Срок окупаемости: 24 мес. E-commerce Россия;https://www.napartner.ru/images/startup/72adddaf09655c283db95fd2cbf2b2be.png
Производство многофункциональных трейлеров;https://www.napartner.ru/s/supervan/;Размер инвестиций: 56 000 000 р.Условия: 45 %Срок окупаемости: 23 мес. Автомобильный / Железнодорожный Россия, Москва;https://www.napartner.ru/images/startup/8c15d9dc187b4b0c47296033194fc4d6.png
SUEFA    Это увлекательная игра, Вы же любите игры?;https://www.napartner.ru/startup/15771;Размер инвестиций: 1 500 000 р.Условия: 25 %Срок окупаемости: 12 мес. E-commerce;https://www.napartner.ru/images/startup/45112d4cfba28aaa9c9f597addee81ec.png
